director_name,actor_2_name,actor_1_name,movie_title,actor_3_name
James Cameron,Joel David Moore,CCH Pounder,Avatar ,Wes Studi
Gore Verbinski,Orlando Bloom,Johnny Depp,Pirates of the Caribbean: At World's End ,Jack Davenport
Sam Mendes,Rory Kinnear,Christoph Waltz,Spectre ,Stephanie Sigman
Christopher Nolan,Christian Bale,Tom Hardy,The Dark Knight Rises ,Joseph Gordon-Levitt
Andrew Stanton,Samantha Morton,Daryl Sabara,John Carter ,Polly Walker
Sam Raimi,James Franco,J.K. Simmons,Spider-Man 3 ,Kirsten Dunst
Nathan Greno,Donna Murphy,Brad Garrett,Tangled ,M.C. Gainey
Joss Whedon,Robert Downey Jr.,Chris Hemsworth,Avengers: Age of Ultron ,Scarlett Johansson
David Yates,Daniel Radcliffe,Alan Rickman,Harry Potter and the Half-Blood Prince ,Rupert Grint
Zack Snyder,Lauren Cohan,Henry Cavill,Batman v Superman: Dawn of Justice ,Alan D. Purwin
Bryan Singer,Marlon Brando,Kevin Spacey,Superman Returns ,Frank Langella
Marc Forster,Mathieu Amalric,Giancarlo Giannini,Quantum of Solace ,Rory Kinnear
Gore Verbinski,Orlando Bloom,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest ,Jack Davenport
Gore Verbinski,Ruth Wilson,Johnny Depp,The Lone Ranger ,Tom Wilkinson
Zack Snyder,Christopher Meloni,Henry Cavill,Man of Steel ,Harry Lennix
Andrew Adamson,Pierfrancesco Favino,Peter Dinklage,The Chronicles of Narnia: Prince Caspian ,Damián Alcázar
Joss Whedon,Robert Downey Jr.,Chris Hemsworth,The Avengers ,Scarlett Johansson
Rob Marshall,Sam Claflin,Johnny Depp,Pirates of the Caribbean: On Stranger Tides ,Stephen Graham
Barry Sonnenfeld,Michael Stuhlbarg,Will Smith,Men in Black 3 ,Nicole Scherzinger
Peter Jackson,Adam Brown,Aidan Turner,The Hobbit: The Battle of the Five Armies ,James Nesbitt
Marc Webb,Andrew Garfield,Emma Stone,The Amazing Spider-Man ,Chris Zylka
Ridley Scott,William Hurt,Mark Addy,Robin Hood ,Scott Grimes
Peter Jackson,Adam Brown,Aidan Turner,The Hobbit: The Desolation of Smaug ,James Nesbitt
Chris Weitz,Eva Green,Christopher Lee,The Golden Compass ,Kristin Scott Thomas
Peter Jackson,Thomas Kretschmann,Naomi Watts,King Kong ,Evan Parke
James Cameron,Kate Winslet,Leonardo DiCaprio,Titanic ,Gloria Stuart
Anthony Russo,Scarlett Johansson,Robert Downey Jr.,Captain America: Civil War ,Chris Evans
Peter Berg,Alexander Skarsgård,Liam Neeson,Battleship ,Tadanobu Asano
Colin Trevorrow,Judy Greer,Bryce Dallas Howard,Jurassic World ,Omar Sy
Sam Mendes,Helen McCrory,Albert Finney,Skyfall ,Rory Kinnear
Sam Raimi,James Franco,J.K. Simmons,Spider-Man 2 ,Kirsten Dunst
Shane Black,Jon Favreau,Robert Downey Jr.,Iron Man 3 ,Don Cheadle
Tim Burton,Alan Rickman,Johnny Depp,Alice in Wonderland ,Anne Hathaway
Brett Ratner,Kelsey Grammer,Hugh Jackman,X-Men: The Last Stand ,Daniel Cudmore
Dan Scanlon,Tyler Labine,Steve Buscemi,Monsters University ,Sean Hayes
Michael Bay,Kevin Dunn,Glenn Morshower,Transformers: Revenge of the Fallen ,Ramon Rodriguez
Michael Bay,Sophia Myles,Bingbing Li,Transformers: Age of Extinction ,Kelsey Grammer
Sam Raimi,Mila Kunis,Tim Holmes,Oz the Great and Powerful ,James Franco
Marc Webb,Andrew Garfield,Emma Stone,The Amazing Spider-Man 2 ,B.J. Novak
Joseph Kosinski,Olivia Wilde,Jeff Bridges,TRON: Legacy ,James Frain
John Lasseter,Thomas Kretschmann,Joe Mantegna,Cars 2 ,Eddie Izzard
Martin Campbell,Temuera Morrison,Ryan Reynolds,Green Lantern ,Taika Waititi
